series_success,fourth_down_converted,fourth_down_failed,first_down,yardline_100,ydstogo,yards_gained,score_differential,game_seconds_remaining,epa,wp,rush_attempt,pass_attempt,ep
0.0,0.0,1.0,0.0,46.0,6.0,0.0,17.0,2276.0,-2.527003,0.9215237,0.0,1.0,0.20782927
1.0,1.0,0.0,1.0,56.0,1.0,19.0,-27.0,328.0,3.1655374,8.5063424e-05,0.0,1.0,0.21070711
1.0,1.0,0.0,1.0,28.0,1.0,5.0,-27.0,187.0,1.8366524,8.289476e-05,1.0,0.0,2.1242478
1.0,1.0,0.0,1.0,4.0,2.0,4.0,-3.0,3064.0,4.0432076,0.4881149,1.0,0.0,2.9567924
1.0,1.0,0.0,1.0,5.0,1.0,3.0,-4.0,2712.0,2.24162,0.51817185,0.0,1.0,4.1376147
0.0,0.0,1.0,0.0,8.0,1.0,-4.0,-6.0,1101.0,-4.408993,0.3534664,0.0,1.0,3.9443002
1.0,1.0,0.0,1.0,4.0,4.0,4.0,-13.0,623.0,4.0542946,0.059547827,0.0,1.0,2.9457054
1.0,1.0,0.0,1.0,28.0,4.0,28.0,9.0,286.0,4.9733224,0.9495563,0.0,1.0,2.0266778
0.0,0.0,1.0,0.0,32.0,5.0,0.0,-16.0,104.0,-3.3313131,0.0013947218,0.0,1.0,1.7469462
0.0,0.0,1.0,0.0,56.0,6.0,5.0,-3.0,263.0,0.35244232,0.28056657,0.0,1.0,-0.35244232
0.0,0.0,1.0,0.0,34.0,1.0,0.0,13.0,900.0,-3.5453355,0.94908184,0.0,1.0,1.766769
0.0,0.0,1.0,0.0,57.0,2.0,0.0,-13.0,815.0,-2.7185316,0.06547237,0.0,1.0,-0.10075772
1.0,1.0,0.0,1.0,16.0,1.0,2.0,0.0,935.0,1.5479058,0.54695654,1.0,0.0,3.3539603
0.0,0.0,1.0,0.0,72.0,7.0,0.0,-9.0,344.0,-4.911547,0.05271095,0.0,1.0,-1.2023401
1.0,1.0,0.0,1.0,51.0,5.0,37.0,-16.0,265.0,4.74126,0.004888051,0.0,1.0,-0.19582881
